ylab,xlab,control,beta,se_hc3,p_value_hc3,r2_adjusted,n,shapiro_p,durbin_watson_stat,breusch_pagan_p
ND-GAIN Readiness (%),Paid Staff (%),hdi_undp,1.9997734710731416,0.3857881648914915,9.628217346382874e-7,0.7741655886863186,116,0.8641313406982775,1.5912919437006896,0.030619143541127703
ND-GAIN Adaptive Capacity (%),Paid Staff (%),None (bivariate),5.073886255603127,0.45843036179504376,8.855375192693514e-20,0.43805356885359736,116,0.013928858190640553,2.1913223913485025,0.1844898268824707
ND-GAIN Adaptive Capacity (%),Paid Staff (%),log1p_funding_per_100k_unocha,4.030532666525756,0.5716585408743937,2.2557392901190994e-10,0.4722535871972804,104,0.0064098350576746194,2.082891381412442,0.15808637754930946
ND-GAIN Adaptive Capacity (%),Paid Staff (%),natural_hazard_inform,5.0883322227885754,0.4858633918425205,2.3960096437850187e-18,0.43315208918241166,116,0.016469173314169847,2.195126517901749,0.11548306670248518
ND-GAIN Adaptive Capacity (%),Paid Staff (%),hdi_undp,1.1899246164719541,0.2757446917384432,3.4313657484385426e-5,0.8572447151765017,116,0.8492576792120394,2.352538025390199,0.5053025794969666
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",Paid Staff (%),None (bivariate),-0.5859661122764159,0.09828464049201956,2.6589965694004065e-8,0.2200333987091705,120,0.07293277556574926,1.9795313457955215,0.2544552979833213
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",Paid Staff (%),log1p_funding_per_100k_unocha,-0.5178204787864209,0.13968925321837036,3.428062143467334e-4,0.23165491946432748,104,0.015944706468816183,2.1850693844014906,0.2998086324176671
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",Paid Staff (%),natural_hazard_inform,-0.5098706353508314,0.10320129018685924,2.6201194677600703e-6,0.2872782583234833,120,0.4273238903679434,1.9382815059876843,0.007778198385723562
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",Paid Staff (%),hdi_undp,-0.21082813257756955,0.11104951894279888,0.060135765347700834,0.37201521380737346,118,0.03726757883172987,2.1189421112195523,0.0757302190762129
Reliance on non-profits in first days of crisis (%),Paid Staff (%),None (bivariate),1.7921299319432735,0.5303066479406485,0.0027006625382202374,0.15839964619116886,24,0.05018897908172901,1.704795899806343,0.3552767431485041
Reliance on non-profits in first days of crisis (%),Paid Staff (%),log1p_funding_per_100k_unocha,0.6989429534742241,0.7517465346833309,0.3655113253510761,0.24268599885278275,20,0.00240281178482012,2.0693371447567777,0.6646333527159868
Reliance on non-profits in first days of crisis (%),Paid Staff (%),natural_hazard_inform,1.7292462112782996,0.6531721508850798,0.01506116517090298,0.28647858391054404,24,0.01254517427458792,1.4764599719646339,0.44506253600841034
Reliance on non-profits in first days of crisis (%),Paid Staff (%),hdi_undp,2.3833001969232845,0.7893144451864479,0.006524909982657621,0.13427190591372562,24,0.025472461339471553,1.814180225597555,0.6142106912004058
Trust in emergency services and authorities (%),Paid Staff (%),None (bivariate),1.5025227020350662,0.5178053906417476,0.008272803593973461,0.2266542926602746,24,0.8736689797290929,1.927698680715556,0.36893430193620913
